kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
jacobi-1d,501,0,0,7992001,501,0,0,1001
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
trisolv,251501,1,1309,6005002,251501,373,35,253062
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
durbin,754,233796,49424,13993011,754,0,0,442757
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
gesummv,422989,0,58512,13525200,422989,4,3,481827
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
atax,499514,1192529,0,27932100,499514,0,0,2192244
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
bicg,499752,999203,0,31924000,499752,0,0,1999097
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
mvt,501000,4499750,16488,24004000,501000,501939,533,5017738
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
gemver,502002,5999494,16148,48010011,502002,1002181,1048,7018394
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
deriche,2211842,38707200,0,141557770,2211842,5529400,950703,60825603
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
doitgen,423221,67900204,0,1622880004,423221,1,0,69163426
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
covariance,390151,2012430149,0,3037084202,390151,125352714,421489,2013840449
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
trmm,212877,1097773090,16068646,1800600006,212877,73899965,3314,1114204615
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
syrk,240601,667006454,24935651,2883841202,240601,88735598,15399,764866262
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
gemm,452500,164835000,25,5282200000,452500,164972518,0,165425050
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
symm,363002,1189755177,12662363,3601200012,363002,149319869,20896,1769514117
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
correlation,390302,2012432847,4930,3039729614,390302,125559860,628809,2013848379
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
syr2k,390601,1455685617,11337998,4325041210,390601,179263894,47868,1553060352
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
gramschmidt,390601,2880897643,0,5040600012,390601,89197588,231402,3601978845
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
jacobi-2d,422503,843279502,0,10108824007,422503,421753502,0,1054628007
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
3mm,836252,3030016749,0,8102590013,836252,337314053,0,3031176753
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
2mm,578751,1857929903,0,4970640010,578751,206831801,0,1858718655
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
nussinov,197692,2415329248,64155347,7853095019,197692,160603112,729117,2479881835
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
adi,499255,1746950251,9430500,10463037028,499255,498568936,20480,2568255008
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
fdtd-2d,450066,595447939,0,8390203014,450066,524400439,0,820823007
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
seidel-2d,500001,748750000,0,19960020001,500001,249500000,0,999000001
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
heat-3d,431882,838607121,0,13144315014,431882,424368620,0,1047899004
