kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
jacobi-1d,501,0,0,7992001,501,0,0,1001
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
trisolv,251501,1,11493,6005002,251501,186,14,263246
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
gesummv,422989,0,57538,13525200,422989,73,99,480853
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
durbin,754,222943,49231,13993011,754,0,0,421359
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
mvt,501000,4499750,81758,24004000,501000,499740,42,5083008
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
bicg,499752,940400,0,31924000,499752,0,0,1910894
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
gemver,502002,5984744,81700,48010011,502002,999743,599,7069196
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
atax,499514,1190944,0,27932100,499514,0,0,2190659
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
deriche,2211842,38707200,0,141557770,2211842,5529401,951910,60825603
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
syrk,240601,661570521,23070627,2883841202,240601,88734465,15247,758861209
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
doitgen,423221,67784789,324378910,1622880004,423221,1,0,393426921
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
correlation,390302,2012425917,161943,3039729614,390302,125559413,628746,2013998462
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
trmm,212877,1089578530,18482145,1800600006,212877,73903636,6803,1108423554
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
syr2k,390601,1449723457,13017513,4325041210,390601,179263332,47796,1549113923
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
gramschmidt,390601,2880874605,0,5040600012,390601,89196672,231003,3601952475
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
covariance,390151,2012421686,2,3037084202,390151,125352722,421501,2013831988
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
symm,363002,1175994399,16824021,3601200012,363002,149318996,20626,1755375657
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
fdtd-2d,450066,561316439,5496000,8390203014,450066,524400439,0,792187507
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
gemm,452500,164835000,164820,5282200000,452500,165031395,745,165754640
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
jacobi-2d,422503,699362002,0,10108824007,422503,421753502,0,910710507
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
3mm,836252,2953147750,0,8102590013,836252,337314053,21,2954307754
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
2mm,578751,1830347859,0,4970640010,578751,206831801,1,1831136611
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
adi,499255,1741682751,16599000,10463037028,499255,498568936,20480,2570126508
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
nussinov,197692,2422543429,63896403,7853095019,197692,160601509,725860,2486837106
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
seidel-2d,500001,748750000,0,19960020001,500001,249500000,0,999000001
