kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
jacobi-1d,501,0,0,7992001,501,0,0,1001,501,0,0,1001
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
trisolv,251501,1,844,6005002,251501,247,1,252597,251501,216,3,251753
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
durbin,753,250007,9397,13993011,753,0,0,391095,753,0,0,1254
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
gesummv,422989,0,74367,13525200,422989,116,0,497682,422989,116,0,423431
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
bicg,499752,999208,9,31924000,499752,0,0,1999125,499752,238,0,500253
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
atax,499514,1118985,0,27932100,499514,0,0,2118700,499514,263,0,500015
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
mvt,501000,4276441,7640,24004000,501000,500856,8,4785581,501000,496036,21,1002364
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
gemver,502002,5776192,7644,48010011,502002,1001088,18,6786589,502002,991452,54,2003625
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
deriche,2211842,38707200,2,141557770,2211842,5529587,2,60825605,2211842,5526657,88,11059192
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
doitgen,423222,67868786,486063377,1622880004,423222,2,0,555195387,423222,22,0,843246
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
trmm,212876,1061955901,27253037,1800600006,212876,74678717,83,1089571815,212876,59765634,11266,75041677
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
syrk,240601,694157010,270997,2883841202,240601,89643781,920,770247492,240601,71828633,13000,89964227
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
covariance,390151,2012430148,0,3037084202,390151,126029717,6752,2013840448,390151,113018580,127302,127446320
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
correlation,390303,2012431649,69170,3039729614,390303,126240019,6749,2013911423,390303,113228894,127307,127656925
kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2,compulsory3,capacity3,conflict3,demand_fetches3
symm,363002,1177515506,43054214,3601200012,363002,149724223,499,1811885756,363002,141710954,98984,225099574
